ParticipantID,TrialNumber,LevelDistanceTraveled,grid_distance,human_distance
432,7,10.33,12.4,10.21
432,8,5.28,5.6,4.82
432,9,5.61,6.6,4.66
432,10,2.89,6.11,6.02
432,11,8.49,10.4,7.79
432,12,5.23,5.1,4.59
432,13,21.19,25.64,22.65
432,14,14.46,17.8,14.58
432,15,3.94,4.9,3.14
432,16,5.33,7.2,5.7
432,17,11.12,11.9,10.12
432,18,4.73,5.6,5.26
432,19,9.35,11.7,8.76
432,20,20.95,23.34,20.32
432,21,12.36,14.7,12.21
432,22,8.02,9.2,8.03
432,23,8.87,10.2,8.73
432,24,14.56,17.3,15.06
407,1,6.95,9.5,6.72
407,2,4.46,5.9,3.91
407,3,9.91,11.8,9.0
407,4,5.6,5.7,5.58
407,5,4.63,6.6,5.01
407,6,7.48,9.0,7.35
407,7,7.01,8.4,7.45
407,8,5.16,5.6,5.04
407,9,5.47,6.6,5.28
407,10,11.75,13.3,11.59
407,11,5.58,6.4,6.01
407,12,9.68,11.3,8.7
407,13,6.5,8.8,6.23
407,14,9.78,12.4,9.73
407,15,3.89,4.9,3.31
407,16,5.26,7.2,5.34
407,17,7.87,8.5,7.48
407,18,5.04,5.6,4.37
407,19,6.07,7.1,5.31
407,20,5.84,6.7,5.96
407,21,7.04,8.3,6.72
407,22,5.86,7.4,5.81
407,23,7.72,8.6,7.84
407,24,4.53,5.14,4.33
408,1,7.0,9.5,6.31
408,2,4.71,5.9,4.64
408,3,7.34,9.4,6.76
408,4,5.63,7.1,5.58
408,5,3.62,4.2,3.31
408,6,7.44,9.2,6.94
408,7,6.77,8.4,6.97
408,8,4.26,5.6,4.39
408,9,5.15,6.6,4.33
408,10,6.55,7.5,6.65
408,11,5.81,6.4,5.55
408,12,4.4,5.1,4.47
408,13,5.39,6.6,4.61
408,14,3.89,5.0,3.01
408,15,3.6,4.9,3.3
408,16,3.71,5.0,3.51
408,17,6.33,8.5,5.25
408,18,4.35,5.6,4.7
408,19,7.52,9.5,6.48
408,20,5.31,6.7,5.32
408,21,6.55,8.3,7.14
408,22,5.39,7.4,5.36
408,23,7.3,8.05,6.87
408,24,5.17,5.14,3.99
409,1,9.86,11.3,10.13
409,2,4.36,5.9,4.61
409,3,9.58,10.65,9.89
409,4,12.21,12.5,10.88
409,5,11.16,12.2,10.36
409,6,9.62,9.2,8.25
409,7,9.12,10.6,8.71
409,8,5.08,5.6,4.62
409,9,4.82,8.69,9.41
409,10,6.77,7.5,6.41
409,11,18.85,23.97,20.55
409,12,7.03,7.5,6.26
409,13,13.13,14.2,11.35
409,14,3.81,4.8,3.71
409,15,13.07,14.3,12.1
409,16,15.21,15.8,13.68
409,17,6.93,8.5,6.32
409,18,4.84,5.6,5.2
409,19,8.78,9.5,7.64
409,20,6.44,6.7,6.07
409,21,7.55,8.3,6.28
409,22,6.06,7.4,5.86
409,23,7.85,8.6,7.48
409,24,18.34,25.32,22.54
411,1,9.05,11.3,8.34
411,2,6.64,7.9,7.06
411,3,9.6,10.65,9.95
411,4,11.58,10.7,10.16
411,5,5.26,6.6,5.23
411,6,8.0,9.2,7.99
411,7,15.25,15.8,15.05
411,8,4.48,5.6,4.88
411,9,5.34,6.6,5.87
411,10,9.3,10.94,9.68
411,11,10.61,12.6,11.37
411,12,4.73,5.1,4.25
411,13,5.58,6.6,5.35
