SubjectNum,TrialNum,Time,X,Z
446,4,178.08,2.511476,1.696103
446,4,178.3022,2.505526,1.511286
446,4,178.5244,2.528133,1.319759
446,4,178.7467,2.542601,1.128459
446,4,178.9689,2.537098,0.9329575
446,4,179.1911,2.51388,0.7361638
446,4,179.4133,2.540024,0.5319626
446,4,179.6356,2.590063,0.3299681
446,4,179.8578,2.612818,0.1473413
446,4,180.08,2.599187,-0.03795042
446,4,180.3022,2.541143,-0.2373134
446,4,180.5244,2.476065,-0.4335952
446,4,180.7467,2.384302,-0.5649469
446,4,180.9689,2.29073,-0.6436983
446,4,181.1911,2.184866,-0.7183571
446,4,181.4133,1.929569,-0.8241127
446,4,181.6356,1.811129,-0.84294
446,4,181.8578,1.759165,-0.8416935
446,4,182.08,1.744459,-0.847893
446,4,182.3022,1.73635,-0.8584584
446,4,182.5244,1.726993,-0.8685538
446,4,182.7467,1.718264,-0.8844891
446,4,182.9689,1.711342,-0.900391
446,4,183.1911,1.713603,-0.9064777
446,4,183.4133,1.722249,-0.9096743
446,4,183.6356,1.728532,-0.9143412
446,4,183.8578,1.733515,-0.9162573
446,4,184.08,1.736145,-0.916656
446,4,184.3022,1.735108,-0.9134638
446,4,184.5244,1.735099,-0.9082736
446,4,184.7467,1.736491,-0.9048574
446,4,184.9689,1.7346,-0.9014816
446,4,185.1911,1.732208,-0.899758
446,4,185.4133,1.733304,-0.906099
446,4,185.6356,1.732651,-0.9211351
446,4,185.8578,1.72941,-0.9297869
446,4,186.08,1.727582,-0.9310739
446,4,186.3022,1.724554,-0.937723
446,4,186.5244,1.71709,-0.9500529
446,4,186.7467,1.711391,-0.9600163
446,4,186.9689,1.715369,-0.9570562
446,4,187.1911,1.719976,-0.9535923
446,4,187.4133,1.718329,-0.9452627
446,4,187.6356,1.712003,-0.9303854
446,19,246.4245,1.756188,-1.971511
446,19,246.6467,1.738938,-1.97782
446,19,246.8689,1.728001,-1.990669
446,19,247.0911,1.7233,-2.001539
446,19,247.3133,1.730613,-1.997829
446,19,247.5356,1.741409,-1.990233
446,19,247.7578,1.7524,-1.985265
446,19,247.98,1.760664,-1.985649
446,19,248.2022,1.766148,-1.987713
446,19,248.4245,1.768383,-1.989286
446,19,248.6467,1.767551,-1.991128
446,19,248.8689,1.765719,-1.993278
446,19,249.0911,1.763852,-1.995505
446,19,249.3133,1.763071,-1.997006
446,19,249.5356,1.76103,-1.998441
446,19,249.7578,1.757789,-1.998803
446,19,249.98,1.754862,-1.99853
446,19,250.2022,1.751937,-1.999857
446,19,250.4245,1.751175,-2.000825
446,19,250.6467,1.751388,-2.001022
446,19,250.8689,1.751651,-2.001148
446,19,251.0911,1.753885,-2.000205
446,19,251.3133,1.756126,-1.999951
446,19,251.5356,1.758895,-2.002059
446,19,251.7578,1.761237,-2.007012
