ParticipantID,Order,TrialNumber,StartingObject,TargetObject,Status,Time
404,17,2,Stove,Wheelbarrow,Success,26.96444
404,18,15,Wheelbarrow,Mailbox,Success,4.699579
404,19,12,Trashcan,Table,Success,11.10275
404,20,10,Bookshelf,Plant,Success,8.06488
404,21,23,Chair,Piano,Success,8.01899
404,22,24,Chair,Trashcan,Success,5.987169
404,23,14,Telescope,Wheelbarrow,Success,5.052843
404,24,7,Plant,Trashcan,Success,8.455477
405,1,13,Telescope,Well,Success,12.49779
405,2,9,Bookshelf,Stove,Success,10.11722
405,3,21,Mailbox,Trashcan,Success,13.1342
405,4,6,Table,Chair,Success,11.40588
405,5,18,Harp,Telescope,Success,7.06988
405,6,17,Harp,Stove,Success,10.87497
405,7,16,Wheelbarrow,Plant,Success,7.313324
405,8,12,Trashcan,Table,Success,8.474691
405,9,2,Stove,Wheelbarrow,Success,8.00654
405,10,1,Stove,Well,Success,10.78796
405,11,22,Mailbox,Bookshelf,Success,11.51535
405,12,24,Chair,Trashcan,Success,6.467278
405,13,11,Trashcan,Telescope,Success,7.412628
405,14,10,Bookshelf,Plant,Success,8.174265
405,15,3,Piano,Mailbox,Success,13.8773
405,16,19,Well,Table,Success,9.14315
405,17,8,Plant,Harp,Success,9.326193
405,18,5,Table,Bookshelf,Success,11.85394
405,19,15,Wheelbarrow,Mailbox,Success,6.607616
405,20,7,Plant,Trashcan,Success,10.56117
405,21,20,Well,Piano,Success,14.62641
405,22,4,Piano,Harp,Success,7.131483
405,23,14,Telescope,Wheelbarrow,Success,7.138411
405,24,23,Chair,Piano,Success,9.191359
425,1,15,Wheelbarrow,,Failure,30
425,2,16,Wheelbarrow,Plant,Success,12.61364
425,3,9,Bookshelf,Stove,Success,23.58645
425,4,22,Mailbox,Bookshelf,Success,14.89856
425,5,23,Chair,Piano,Success,17.06438
425,6,1,Stove,Well,Success,17.44703
425,7,10,Bookshelf,Plant,Success,11.80328
425,8,20,Well,Piano,Success,10.01523
425,9,17,Harp,Stove,Success,12.21649
425,10,11,Trashcan,Telescope,Success,15.06505
425,11,2,Stove,Wheelbarrow,Success,22.78289
425,12,21,Mailbox,Trashcan,Success,19.91999
425,13,19,Well,Table,Success,29.69106
425,14,8,Plant,Harp,Success,21.70953
425,15,13,Telescope,Well,Success,9.523737
425,16,14,Telescope,Wheelbarrow,Success,18.03217
425,17,3,Piano,Mailbox,Success,19.06232
425,18,4,Piano,Harp,Success,16.7076
425,19,12,Trashcan,,Failure,30
425,20,6,Table,Chair,Success,23.13795
425,21,24,Chair,Trashcan,Success,17.60119
425,22,18,Harp,Telescope,Success,14.904
425,23,5,Table,Bookshelf,Success,21.44269
425,24,7,Plant,Trashcan,Success,13.63247
426,1,24,Chair,Trashcan,Success,26.76865
426,2,21,Mailbox,Trashcan,Success,12.41544
426,3,23,Chair,Piano,Success,20.95143
426,4,20,Well,Piano,Success,11.44992
426,5,4,Piano,Harp,Success,9.884169
426,6,17,Harp,Stove,Success,23.7718
426,7,7,Plant,Trashcan,Success,19.28951
426,8,6,Table,Chair,Success,17.2404
426,9,16,Wheelbarrow,Plant,Success,10.58298
426,10,8,Plant,Harp,Success,22.53104
426,11,1,Stove,Well,Success,26.59872
426,12,2,Stove,Wheelbarrow,Success,10.6276
426,13,3,Piano,,Failure,30
426,14,12,Trashcan,Table,Success,25.73172
426,15,15,Wheelbarrow,Mailbox,Success,12.41619
426,16,13,Telescope,Well,Success,27.79565
426,17,5,Table,Bookshelf,Success,11.50082
426,18,11,Trashcan,Telescope,Success,13.87234
426,19,10,Bookshelf,Plant,Success,16.1417
426,20,19,Well,Table,Success,13.13564
426,21,9,Bookshelf,Stove,Success,14.18049
426,22,22,Mailbox,Bookshelf,Success,27.65065
426,23,14,Telescope,Wheelbarrow,Success,10.80963
426,24,18,Harp,Telescope,Success,14.65757
428,1,22,Mailbox,Bookshelf,Success,13.39784
428,2,16,Wheelbarrow,Plant,Success,17.35741
428,3,3,Piano,Mailbox,Success,15.77836
428,4,1,Stove,Well,Success,10.52782
428,5,7,Plant,Trashcan,Success,12.24859
428,6,4,Piano,Harp,Success,8.859711
428,7,12,Trashcan,Table,Success,8.185129
428,8,23,Chair,Piano,Success,10.096
428,9,20,Well,Piano,Success,8.465071
428,10,6,Table,Chair,Success,10.67715
428,11,8,Plant,Harp,Success,10.68873
428,12,13,Telescope,Well,Success,8.373049
428,13,2,Stove,Wheelbarrow,Success,8.273455
428,14,19,Well,Table,Success,9.143929
428,15,15,Wheelbarrow,Mailbox,Success,6.913258
428,16,14,Telescope,Wheelbarrow,Success,10.64999
428,17,10,Bookshelf,Plant,Success,9.299526
428,18,18,Harp,Telescope,Success,7.740854
428,19,24,Chair,Trashcan,Success,6.87538
428,20,9,Bookshelf,Stove,Success,7.785126
428,21,11,Trashcan,Telescope,Success,7.762854
428,22,21,Mailbox,Trashcan,Success,8.919725
428,23,17,Harp,Stove,Success,9.179615
428,24,5,Table,Bookshelf,Success,6.496162
429,1,23,Chair,Piano,Success,29.65914
429,2,6,Table,Chair,Success,24.8378
429,3,16,Wheelbarrow,Plant,Success,27.9259
429,4,11,Trashcan,Telescope,Success,20.28855
429,5,15,Wheelbarrow,Mailbox,Success,20.45612
429,6,22,Mailbox,Bookshelf,Success,15.9716
429,7,24,Chair,Trashcan,Success,27.21477
429,8,18,Harp,Telescope,Success,20.70459
429,9,12,Trashcan,Table,Success,13.89424
429,10,1,Stove,Well,Success,14.53566
429,11,19,Well,Table,Success,13.16226
429,12,20,Well,Piano,Success,16.11511
429,13,3,Piano,Mailbox,Success,16.44772
429,14,9,Bookshelf,Stove,Success,21.06248
429,15,10,Bookshelf,Plant,Success,16.22562
