TrialOrder,TrialID,AngleResponse,AngleCorr,AngError,Start,End,RT,ID,AngErrorAbs
24,2,-34.38037,-49.85279,15.47242, Wheelbarrow, Stove,6.071747,401,15.47242
14,3,48.39974,-36.09407,84.49381, Mailbox, Piano,8.156647,401,84.49381
22,4,129.4851,-2.913495,132.398595, Harp, Piano,16.94705,401,132.398595
19,5,157.3801,-121.5305,278.9106, Bookshelf, Table,7.172729,401,81.08940000000001
6,6,37.87497,24.73069,13.144279999999998, Chair, Table,7.906578,401,13.144279999999998
23,7,-91.06092,-156.2066,65.14568000000001, Trashcan, Plant,3.235962,401,65.14568000000001
2,8,159.1284,108.8188,50.3096, Harp, Plant,7.122574,401,50.3096
15,9,84.38641,151.2295,-66.84309, Stove, Bookshelf,14.12845,401,66.84309
4,10,-102.1622,-155.7204,53.558200000000014, Plant, Bookshelf,13.32768,401,53.558200000000014
18,11,39.21761,10.1685,29.04911, Telescope, Trashcan,14.01147,401,29.04911
17,12,35.7355,-13.0517,48.7872, Table, Trashcan,19.66635,401,48.7872
3,13,65.52383,156.9717,-91.44787, Well, Telescope,15.6794,401,91.44787
12,14,149.5514,0.0,149.5514, Wheelbarrow, Telescope,21.41757,401,149.5514
21,15,66.12923,-20.9935,87.12273, Mailbox, Wheelbarrow,6.305374,401,87.12273
13,16,48.39974,-141.7693,190.16904, Plant, Wheelbarrow,7.639618,401,169.83096
16,17,110.7416,146.6573,-35.91569999999999, Stove, Harp,18.84866,401,35.91569999999999
7,18,28.43274,-4.299151,32.731891, Telescope, Harp,11.34293,401,32.731891
9,19,-50.22593,-47.17128,-3.054649999999995, Table, Well,10.95918,401,3.054649999999995
20,20,-49.04019,8.961795,-58.001985000000005, Piano, Well,13.44434,401,58.001985000000005
10,21,-87.10143,-146.2155,59.11407, Trashcan, Mailbox,8.45668,401,59.11407
11,22,-141.8212,-51.54441,-90.27679, Bookshelf, Mailbox,11.17616,401,90.27679
8,23,-128.991,-10.49368,-118.49732000000002, Piano, Chair,13.24377,401,118.49732000000002
5,24,-57.43712,-125.6807,68.24358000000001, Trashcan, Chair,10.1583,401,68.24358000000001
1,20,-49.0686,8.961795,-58.03039, Piano, Well,16.73042,440,58.03039
2,12,144.0476,-13.0517,157.0993, Table, Trashcan,11.2593,440,157.0993
3,24,165.864,-125.6807,291.5447, Trashcan, Chair,12.14311,440,68.45530000000002
4,13,-136.9946,156.9717,-293.9662, Well, Telescope,7.089523,440,66.03379999999999
5,8,-150.1011,108.8188,-258.9199, Harp, Plant,12.64354,440,101.08010000000002
6,14,139.6355,0.0,139.6355, Wheelbarrow, Telescope,7.239243,440,139.6355
7,21,157.8906,-146.2155,304.1061, Trashcan, Mailbox,20.98383,440,55.893899999999974
8,19,23.00885,-47.17128,70.18013, Table, Well,8.857338,440,70.18013
9,7,-158.3177,-156.2066,-2.11113, Trashcan, Plant,9.257622,440,2.11113
10,22,-65.22489,-51.54441,-13.68048, Bookshelf, Mailbox,22.13485,440,13.68048
11,16,27.34988,-141.7693,169.1192, Plant, Wheelbarrow,11.2424,440,169.1192
12,4,47.72632,-2.913495,50.63981, Harp, Piano,18.93231,440,50.63981
13,23,-151.5178,-10.49368,-141.0241, Piano, Chair,13.39452,440,141.0241
14,5,122.4712,-121.5305,244.0017, Bookshelf, Table,7.889465,440,115.9983
15,15,-35.38032,-20.9935,-14.38682, Mailbox, Wheelbarrow,14.66223,440,14.38682
16,10,-20.89084,-155.7204,134.8296, Plant, Bookshelf,10.14166,440,134.8296
17,2,172.0304,-49.85279,221.8832, Wheelbarrow, Stove,9.040634,440,138.1168
18,9,-129.5881,151.2295,-280.8176, Stove, Bookshelf,7.889862,440,79.18239999999997
19,3,32.68055,-36.09407,68.77463, Mailbox, Piano,8.490402,440,68.77463
20,17,-146.4337,146.6573,-293.091, Stove, Harp,7.022446,440,66.90899999999999
21,1,142.0165,139.8627,2.15387, Well, Stove,11.07574,440,2.15387
22,11,32.31958,10.1685,22.15108, Telescope, Trashcan,7.105743,440,22.15108
23,18,11.15466,-4.299151,15.45381, Telescope, Harp,11.00909,440,15.45381
24,6,29.56038,24.73069,4.829689, Chair, Table,16.76373,440,4.829689
1,20,149.9314,8.961795,140.9696, Piano, Well,17.13055,445,140.9696
2,10,-139.7795,-155.7204,15.94095, Plant, Bookshelf,9.8414,445,15.94095
3,11,-84.80553,10.1685,-94.97403, Telescope, Trashcan,22.55188,445,94.97403
4,3,-151.2274,-36.09407,-115.1333, Mailbox, Piano,8.023132,445,115.1333
5,16,147.1443,-141.7693,288.9136, Plant, Wheelbarrow,8.840668,445,71.08640000000003
6,13,147.8244,156.9717,-9.147308, Well, Telescope,10.17511,445,9.147308
7,24,-164.3578,-125.6807,-38.67706, Trashcan, Chair,9.407684,445,38.67706
8,14,-87.07267,0.0,-87.07267, Wheelbarrow, Telescope,8.757141,445,87.07267
9,5,-147.1792,-121.5305,-25.64864, Bookshelf, Table,6.855682,445,25.64864
10,12,-143.7462,-13.0517,-130.6945, Table, Trashcan,19.89975,445,130.6945
11,19,126.9606,-47.17128,174.1319, Table, Well,16.34668,445,174.1319
12,1,-145.7131,139.8627,-285.5758, Well, Stove,9.090912,445,74.42419999999998
13,4,-122.6115,-2.913495,-119.698, Harp, Piano,6.788696,445,119.698
14,15,-120.8609,-20.9935,-99.86739, Mailbox, Wheelbarrow,17.36444,445,99.86739
15,18,54.16234,-4.299151,58.46149, Telescope, Harp,6.104858,445,58.46149
16,2,-148.815,-49.85279,-98.96224, Wheelbarrow, Stove,5.387878,445,98.96224
17,22,-130.5655,-51.54441,-79.02109, Bookshelf, Mailbox,7.089111,445,79.02109
18,21,74.86864,-146.2155,221.0842, Trashcan, Mailbox,6.905884,445,138.9158
19,7,-155.6954,-156.2066,0.5111389, Trashcan, Plant,6.87207,445,0.5111389
20,17,113.2498,146.6573,-33.40745, Stove, Harp,5.754761,445,33.40745
21,6,-152.4709,24.73069,-177.2016, Chair, Table,7.155945,445,177.2016
22,23,144.9406,-10.49368,155.4343, Piano, Chair,15.44574,445,155.4343
23,9,-147.4029,151.2295,-298.6324, Stove, Bookshelf,6.505798,445,61.36759999999998
24,8,133.5185,108.8188,24.69973, Harp, Plant,4.636902,445,24.69973
12,1,120.9638,139.8627,-18.898899999999983, Well, Stove,7.172668,439,18.898899999999983
13,2,-38.73867,-49.85279,11.11412, Wheelbarrow, Stove,6.922363,439,11.11412
8,3,-24.85374,-36.09407,11.240330000000004, Mailbox, Piano,10.4588,439,11.240330000000004
23,4,6.115518,-2.913495,9.029013, Harp, Piano,14.979,439,9.029013
22,5,-26.07535,-121.5305,95.45515, Bookshelf, Table,14.49524,439,95.45515
11,6,39.3485,24.73069,14.617810000000002, Chair, Table,19.19897,439,14.617810000000002
2,7,-140.1266,-156.2066,16.080000000000013, Trashcan, Plant,6.221313,439,16.080000000000013
6,8,93.60631,108.8188,-15.212490000000004, Harp, Plant,7.105957,439,15.212490000000004
3,9,24.42309,151.2295,-126.80641, Stove, Bookshelf,4.470703,439,126.80641
10,10,-160.8419,-155.7204,-5.1214999999999975, Plant, Bookshelf,10.60876,439,5.1214999999999975
14,11,6.832366,10.1685,-3.3361339999999995, Telescope, Trashcan,4.086548,439,3.3361339999999995
1,12,0.0,-13.0517,13.0517, Table, Trashcan,21.6344,439,13.0517
24,13,136.4203,156.9717,-20.5514, Well, Telescope,10.39191,439,20.5514
4,14,159.6011,0.0,159.6011, Wheelbarrow, Telescope,9.25769,439,159.6011
18,15,-39.1605,-20.9935,-18.167, Mailbox, Wheelbarrow,7.456116,439,18.167
9,16,-144.7149,-141.7693,-2.945600000000013, Plant, Wheelbarrow,10.67542,439,2.945600000000013
16,17,128.5765,146.6573,-18.080799999999986, Stove, Harp,8.073303,439,18.080799999999986
15,18,-10.87623,-4.299151,-6.577079, Telescope, Harp,5.554688,439,6.577079
5,19,-13.9812,-47.17128,33.19008, Table, Well,10.09149,439,33.19008
17,20,29.89891,8.961795,20.937115, Piano, Well,14.77881,439,20.937115
20,21,125.1286,-146.2155,271.3441, Trashcan, Mailbox,17.96478,439,88.65589999999997
7,22,-16.54299,-51.54441,35.00142, Bookshelf, Mailbox,5.304199,439,35.00142
19,23,14.18763,-10.49368,24.68131, Piano, Chair,9.54126,439,24.68131
