Subject,Age,Gender,AllowedTime,Order,Center,Top,Target,TargetAngle,EstimateAngle,AngularError,DSP_Trial,targetAngle
662,18,female,60,9,You,plant,well,120.0,139.0,19.0,dsp1_09,119.6189758
663,18,female,60,22,You,plant,well,120.0,216.0,96.0,dsp1_09,119.6189758
664,18,female,60,8,You,plant,well,120.0,76.0,44.0,dsp1_09,119.6189758
665,18,female,60,11,You,plant,well,120.0,211.0,91.0,dsp1_09,119.6189758
666,18,male,60,12,You,plant,well,120.0,218.0,98.0,dsp1_09,119.6189758
667,19,male,60,2,You,plant,well,120.0,69.0,51.0,dsp1_09,119.6189758
668,19,male,60,19,You,plant,well,120.0,210.0,90.0,dsp1_09,119.6189758
669,18,male,60,23,You,plant,well,120.0,193.0,73.0,dsp1_09,119.6189758
670,19,male,60,25,You,plant,well,120.0,221.0,101.0,dsp1_09,119.6189758
640,18,female,60,20,You,plant,well,120.0,268.0,148.0,dsp1_09,119.6189758
604,20,male,60,3,You,trashcan,well,99.0,91.0,8.0,dsp1_18,99.64530212
605,18,male,60,19,You,trashcan,well,99.0,66.0,33.0,dsp1_18,99.64530212
606,20,male,60,12,You,trashcan,well,99.0,183.0,84.0,dsp1_18,99.64530212
607,20,female,60,16,You,trashcan,well,99.0,218.0,119.0,dsp1_18,99.64530212
608,21,male,60,13,You,trashcan,well,99.0,217.0,118.0,dsp1_18,99.64530212
609,18,male,60,8,You,trashcan,well,99.0,102.0,3.0,dsp1_18,99.64530212
610,19,male,60,9,You,trashcan,well,99.0,125.0,26.0,dsp1_18,99.64530212
611,19,male,60,18,You,trashcan,well,99.0,92.0,7.0,dsp1_18,99.64530212
612,18,male,60,19,You,trashcan,well,99.0,145.0,46.0,dsp1_18,99.64530212
613,18,male,60,6,You,trashcan,well,99.0,222.0,123.0,dsp1_18,99.64530212
614,19,male,60,10,You,trashcan,well,99.0,88.0,11.0,dsp1_18,99.64530212
615,20,male,60,22,You,trashcan,well,99.0,322.0,137.0,dsp1_18,99.64530212
616,19,male,60,14,You,trashcan,well,99.0,133.0,34.0,dsp1_18,99.64530212
617,19,male,60,26,You,trashcan,well,99.0,126.0,27.0,dsp1_18,99.64530212
618,19,male,60,11,You,trashcan,well,99.0,200.0,101.0,dsp1_18,99.64530212
619,20,male,60,6,You,trashcan,well,99.0,89.0,10.0,dsp1_18,99.64530212
620,18,male,60,26,You,trashcan,well,99.0,137.0,38.0,dsp1_18,99.64530212
621,25,female,60,13,You,trashcan,well,99.0,129.0,30.0,dsp1_18,99.64530212
622,18,male,60,10,You,trashcan,well,99.0,111.0,12.0,dsp1_18,99.64530212
623,19,female,60,23,You,trashcan,well,99.0,91.0,8.0,dsp1_18,99.64530212
