Participant ID,Level,Time,PosX,PosY,PosZ,Facing Angle
408,11,110.2689,2.249949,1.592569,1.025028,228.8177
408,11,110.4911,2.130067,1.588416,1.017913,248.1262
408,11,110.7133,1.999661,1.569116,0.9502681,264.7862
408,11,110.9356,1.824133,1.581231,0.9130803,270.0765
408,11,111.1578,1.602295,1.551297,0.9514396,270.3166
408,11,111.38,1.406008,1.567905,0.997625,266.8406
408,11,111.6022,1.178491,1.584667,0.9762933,260.59
408,11,111.8244,0.9283759,1.557834,0.907227,250.6038
408,11,112.0467,0.6644257,1.59389,0.8931986,250.4389
408,11,112.2689,0.4016882,1.562661,0.9484612,259.0585
408,11,112.4911,0.1442105,1.571947,1.023991,265.7334
408,11,112.7133,-0.1390041,1.572351,1.037974,271.5544
408,11,112.9356,-0.4077419,1.558536,1.013933,278.079
408,11,113.1578,-0.6565684,1.585172,1.030353,282.1785
408,11,113.38,-0.8606973,1.552851,1.083259,288.3987
408,11,113.6022,-1.062522,1.565367,1.150044,294.4792
408,11,113.8244,-1.278544,1.568684,1.156989,294.9407
408,11,114.0467,-1.518353,1.545455,1.082305,271.2329
408,11,114.2689,-1.738052,1.562141,1.003868,231.5807
408,11,114.4911,-1.934102,1.541301,1.003424,213.4407
408,11,114.7133,-2.156961,1.563402,0.9892173,194.6772
408,11,114.9356,-2.286964,1.562897,0.905121,173.9033
408,11,115.1578,-2.371569,1.548514,0.7746047,165.0432
408,11,115.38,-2.469473,1.53639,0.6473843,154.8242
408,11,115.6022,-2.563563,1.513918,0.5303405,140.892
408,11,115.8244,-2.613649,1.54361,0.3901347,127.6821
408,6,128.2244,-1.856089,1.607352,2.005522,89.14984
408,6,128.4467,-1.870239,1.616791,2.004114,90.8158
408,6,128.6689,-1.887583,1.621886,1.99428,96.69933
408,6,128.8911,-1.893692,1.620126,1.971539,110.3093
408,6,129.1133,-1.875978,1.614768,1.962651,115.8094
408,6,129.3356,-1.848877,1.595028,1.917778,116.4461
408,6,129.5578,-1.873968,1.577043,1.796363,133.5826
408,6,129.78,-1.903091,1.574736,1.714136,148.3255
408,6,130.0022,-1.930856,1.56795,1.614758,162.1249
408,6,130.2244,-1.910359,1.556567,1.462379,166.5792
408,6,130.4467,-1.789744,1.544649,1.288429,162.2965
408,6,130.6689,-1.626742,1.566128,1.172783,143.3585
408,6,130.8911,-1.455317,1.545008,1.068249,123.3701
408,6,131.1133,-1.263358,1.570342,0.9126507,114.9408
408,6,131.3356,-1.064992,1.579285,0.8393965,115.5935
408,6,131.5578,-0.8300806,1.551648,0.8173375,119.8698
408,6,131.78,-0.625379,1.576734,0.7820855,125.0683
408,6,132.0022,-0.4469921,1.572135,0.6784719,135.3992
408,6,132.2244,-0.3021957,1.556706,0.5087625,146.742
408,6,132.4467,-0.1595621,1.568304,0.338833,152.4196
408,6,132.6689,-0.02483377,1.551608,0.163822,150.7462
408,6,132.8911,0.04535975,1.589304,-0.02366624,146.6417
408,6,133.1133,0.05067348,1.568269,-0.2569047,137.4174
408,6,133.3356,0.0342868,1.590827,-0.4512122,122.1226
408,6,133.5578,0.06789815,1.594002,-0.5871811,101.2206
408,6,133.78,0.1105466,1.581727,-0.6853735,94.44592
408,6,134.0022,0.07489827,1.59833,-0.8527364,127.6547
408,6,134.2244,-0.0838359,1.577792,-0.9947536,175.1548
408,6,134.4467,-0.2593642,1.570171,-1.080095,191.4394
408,6,134.6689,-0.3898062,1.586391,-1.161215,193.8497
408,6,134.8911,-0.4937659,1.574729,-1.259415,190.7653
408,6,135.1133,-0.6011162,1.554298,-1.444753,191.2279
408,6,135.3356,-0.6638306,1.561266,-1.609247,187.9822
408,6,135.5578,-0.7039539,1.548678,-1.817343,169.6401
408,6,135.78,-0.7613395,1.548812,-2.01058,154.6385
408,6,136.0022,-0.7537956,1.579194,-2.179316,142.2745
408,6,136.2244,-0.694485,1.556328,-2.353658,128.3994
408,6,136.4467,-0.5986058,1.569915,-2.51642,110.1943
408,6,136.6689,-0.5154203,1.575548,-2.680818,89.40663
408,6,136.8911,-0.4124261,1.568879,-2.844056,73.22379
408,6,137.1133,-0.2545942,1.583736,-2.9658,68.84305
408,6,137.3356,-0.08297752,1.551278,-2.98485,65.84838
408,6,137.5578,0.1238451,1.551486,-2.95093,55.81573
408,6,137.78,0.3257526,1.55342,-2.954127,44.99113
408,6,138.0022,0.519053,1.555369,-2.954538,30.3248
408,18,148.9578,1.741112,1.650821,-1.079818,357.1004
408,18,149.18,1.743666,1.652138,-1.08434,359.8415
408,18,149.4022,1.733864,1.651451,-1.067032,354.9514
408,18,149.6245,1.652415,1.633963,-1.034826,330.2224
408,18,149.8467,1.496423,1.603858,-1.054252,299.0892
408,18,150.0689,1.357447,1.590999,-1.073141,281.7242
408,18,150.2911,1.170927,1.5762,-1.040867,272.9108
408,18,150.5133,0.9549499,1.556782,-0.9577081,275.4946
408,18,150.7356,0.7366173,1.589887,-0.9098958,279.3896
408,18,150.9578,0.5015541,1.575383,-0.9323566,278.6042
408,18,151.18,0.2366659,1.571717,-0.9846853,279.6957
408,18,151.4022,-0.05792889,1.594477,-0.9774991,279.5982
408,18,151.6245,-0.3136246,1.551212,-0.917316,279.0649
408,18,151.8467,-0.5771877,1.59268,-0.862622,279.999
408,18,152.0689,-0.824047,1.562884,-0.8687425,278.5659
408,18,152.2911,-1.076327,1.557201,-0.9083899,280.7875
408,18,152.5133,-1.334785,1.581018,-0.8922735,286.2713
408,18,152.7356,-1.585712,1.548432,-0.8335695,289.6735
408,18,152.9578,-1.818619,1.567652,-0.7763296,299.1869
408,18,153.18,-2.034687,1.546782,-0.7528936,318.8372
408,18,153.4022,-2.238971,1.548552,-0.7302648,349.9123
408,18,153.6245,-2.369027,1.564185,-0.6630276,8.979173
408,18,153.8467,-2.431847,1.54474,-0.5468808,15.85507
408,16,165.38,0.1147558,1.643304,-0.03975759,276.4867
408,16,165.6022,0.114648,1.643355,-0.03698956,278.642
408,16,165.8244,0.1234061,1.638563,-0.008731313,299.6483
408,16,166.0467,0.1244574,1.635474,0.001882197,308.9731
408,16,166.2689,0.1056826,1.63432,0.007132463,312.0964
408,16,166.4911,0.07409266,1.621611,0.01609339,312.5186
408,16,166.7133,0.02743568,1.611647,-0.006842442,296.0663
408,16,166.9356,-0.01319423,1.600542,-0.1180854,253.7414
408,16,167.1578,0.001062155,1.573735,-0.2741212,225.6467
408,16,167.38,-0.02788091,1.569953,-0.4138052,224.5958
408,16,167.6022,-0.1313568,1.564204,-0.5469457,228.2679
408,16,167.8244,-0.3376216,1.55251,-0.6580018,240.2842
408,16,168.0467,-0.5331613,1.576003,-0.7448472,253.1536
408,16,168.2689,-0.7341923,1.561921,-0.8285943,259.7218
408,16,168.4911,-0.9048216,1.557489,-0.9078552,260.0289
408,16,168.7133,-1.129857,1.580376,-0.9546013,254.0941
408,16,168.9356,-1.378697,1.546593,-0.9402869,245.5984
408,16,169.1578,-1.628092,1.57356,-0.9390863,242.2746
408,16,169.38,-1.86323,1.545243,-1.020347,237.2338
408,16,169.6022,-2.091006,1.528159,-1.131047,234.6997
408,16,169.8244,-2.331947,1.543031,-1.223449,229.3369
408,16,170.0467,-2.564764,1.525441,-1.299665,227.4553
408,16,170.2689,-2.729726,1.543616,-1.437439,231.4083
408,16,170.4911,-2.799746,1.519746,-1.59404,235.1325
408,5,182.9578,-1.959531,1.615132,1.967321,91.96494
408,5,183.18,-1.96637,1.616003,1.966548,89.52029
408,5,183.4022,-1.965691,1.616571,1.975301,85.9959
408,5,183.6245,-1.943765,1.612568,1.968546,88.69492
408,5,183.8467,-1.896625,1.585212,1.855022,98.81168
408,5,184.0689,-1.844394,1.55712,1.645156,103.8666
408,5,184.2911,-1.757987,1.560649,1.483605,104.4531
408,5,184.5133,-1.621654,1.540467,1.372631,101.3193
408,5,184.7356,-1.450884,1.547612,1.309369,99.65913
408,5,184.9578,-1.28933,1.561768,1.231956,96.68092
408,5,185.18,-1.100505,1.549462,1.139707,96.25994
408,5,185.4022,-0.8852069,1.56051,1.019437,98.36483
408,5,185.6245,-0.6634417,1.583544,0.9915559,96.30942
408,5,185.8467,-0.4269887,1.555577,1.005846,96.51572
408,5,186.0689,-0.1433635,1.588504,1.011019,101.2822
408,5,186.2911,0.106585,1.573084,0.9642985,105.4236
408,5,186.5133,0.3432364,1.554636,0.8823303,110.3935
408,5,186.7356,0.5549228,1.57731,0.8800936,109.8502
408,5,186.9578,0.7671651,1.54753,0.9076622,115.2316
408,5,187.18,0.9754909,1.565852,0.9241494,121.9667
408,5,187.4022,1.152009,1.565468,0.8830007,128.4019
408,13,203.1356,-2.801887,1.613938,-0.01604892,87.0005
408,13,203.3578,-2.805131,1.615046,-0.01969505,88.63701
408,13,203.58,-2.805049,1.614314,-0.04759208,101.4526
408,13,203.8022,-2.797625,1.61412,-0.05903802,106.1055
408,13,204.0244,-2.761477,1.604227,-0.02637641,89.78455
408,13,204.2467,-2.70936,1.582075,-0.02169552,83.80061
408,13,204.4689,-2.634169,1.563699,-0.1794839,98.92327
408,13,204.6911,-2.574056,1.552703,-0.3844954,110.8879
408,13,204.9133,-2.490657,1.564549,-0.5352693,113.3574
408,13,205.1356,-2.378482,1.551939,-0.6257814,111.891
408,13,205.3578,-2.17614,1.54475,-0.699572,110.0622
408,13,205.58,-1.958355,1.562891,-0.7713919,103.7505
408,13,205.8022,-1.722726,1.533942,-0.8643742,100.2125
408,13,206.0244,-1.461349,1.566137,-0.9562649,101.4283
408,13,206.2467,-1.190518,1.568687,-0.9639875,100.157
408,13,206.4689,-0.8571717,1.56375,-0.9290217,99.7468
